rank,layer1,layer2,delay_ps,cell_count
1,0,1,172.85,29
2,3,4,177.9,34
3,1,0,182.7,30
4,3,5,184.78,28
5,2,4,188.06,27
6,0,2,188.66,30
7,1,2,190.18,28
8,2,1,190.18,29
9,4,0,190.18,32
10,1,5,192.3,29
11,5,3,192.3,30
12,4,2,194.15,34
13,4,5,194.94,32
14,3,2,195.42,32
15,5,4,196.02,28
16,0,4,197.7,30
17,0,5,198.18,27
18,5,1,198.87,27
19,2,5,200.26,32
20,4,1,200.82,33
21,3,0,200.99,30
22,2,3,202.11,30
23,2,0,202.46,29
24,1,3,203.58,35
25,5,2,208.82,29
26,5,0,208.9,35
27,4,3,210.11,31
28,1,4,212.23,32
29,3,1,212.23,31
30,0,3,214.35,31
